year,stalpbr,loans,re_loans,agloans,agloans_re,loans_year,re_loans_year,agloans_year,agloans_re_year,loans_d,loans_d_alt,re_loans_d,re_loans_d_alt,agloans_d,agloans_d_alt,agloans_re_d,agloans_re_d_alt,loans_d_year,loans_d_alt_year,re_loans_d_year,re_loans_d_alt_year,agloans_d_year,agloans_d_alt_year,agloans_re_d_year,agloans_re_d_alt_year,total_branches,total_ag_branches,total_ag_branch_deposits
1994,NC,72569269369.83826,39012836014.89237,532340012.18399876,498089019.7885985,73818960547.87955,39807765348.863144,488121007.8999279,510827021.5923089,459921749.1005092,459921749.1005092,350618034.779728,350618034.779728,573999.8638523639,573999.8638523639,4823999.707571835,4823999.707571835,468510544.5473014,468510544.5473014,345299229.5156097,345299229.5156097,889999.6617634487,889999.6617634487,4441499.619799887,4441499.619799887,2575,0,0
1994,ND,6449274592.847041,3061789716.861788,1081617827.8770666,365819930.21976525,6520564935.0204735,3146011768.801995,1055027067.131256,369492436.1237081,44694944.14933022,44694944.14933022,23641450.540630054,23641450.540630054,7817005.016876831,7817005.016876831,5002012.090325029,5002012.090325029,43476524.607266635,43476524.607266635,24505108.893532608,24505108.893532608,6980003.780058267,6980003.780058267,4257511.3719537,4257511.3719537,370,236,12585428000
1994,NE,18208367422.586273,8011907687.84248,3123214553.8154473,1096882766.3338497,18300627955.705894,7966755722.2042055,3137768688.183244,1102733429.3734837,141294506.22880438,141294506.22880438,60623986.37320942,60623986.37320942,27555995.445485152,27555995.445485152,14099000.318045923,14099000.318045923,139148653.0569636,139148653.0569636,60062816.08681408,60062816.08681408,26038078.649919465,26038078.649919465,12936832.007844524,12936832.007844524,854,475,28474193000
1994,NH,10687645949.380375,7391328309.980512,2984000.0139588453,8353003.858457316,11164186046.641659,7538465232.884221,3078000.011632371,8170253.8491514195,173012060.16846198,173012060.16846198,128022969.49736515,128022969.49736515,0,0,280000.32570637565,280000.32570637565,177727267.4489395,177727267.4489395,126526026.82257439,126526026.82257439,0,0,301500.24369816325,301500.24369816325,392,0,0
1994,NJ,83792771660.30042,59082611009.64195,52557605.45865455,33031154.210153792,88193924752.45264,61965564284.317696,40053528.09481524,36528813.71879143,2319915620.2681217,2319915620.2681217,1781383034.1108062,1781383034.1108062,214999.99999999994,214999.99999999994,2447999.999999999,2447999.999999999,2288218287.866779,2288218287.866779,1760694402.2963014,1760694402.2963014,317749.99999999994,317749.99999999994,5213780.166285472,5213780.166285472,2995,0,0
1994,NM,7944268753.085837,4449648445.5582485,247215124.2463956,106504020.87794526,8130760297.567273,4555851868.49315,250194046.95796877,114398870.31836487,100153370.35239777,100153370.35239777,63996998.32737679,63996998.32737679,3974000,3974000,4262999.999999998,4262999.999999998,98835439.53563482,98835439.53563482,64107142.27180924,64107142.27180924,3416750.0000000005,3416750.0000000005,4205750.000000001,4205750.000000001,448,28,2441579000
1994,NV,12709971094.705837,4887898587.531944,13524000.09477687,1580000.125893386,14742402543.04919,5218817347.2237,13102750.091065744,6341500.100058122,221323711.39215738,221323711.39215738,79591519.99210605,79591519.99210605,117000.02455063774,117000.02455063774,36000,36000,236909732.3834536,236909732.3834536,80847475.16631196,80847475.16631196,71500.01106206058,71500.01106206058,36000,36000,345,0,0
1994,NY,472941371177.0624,172644862433.61658,766186144.3799065,180459036.50794438,477552647285.6329,175651048256.5079,680950895.3125839,181691384.37828153,12906419128.889389,12906419128.889389,7665323642.7300215,7665323642.7300215,78709022.78018908,78709022.78018908,11290362.391150188,11290362.391150188,12765912201.5165,12765912201.5165,7314919563.210568,7314919563.210568,50599576.233157985,50599576.233157985,10664166.465986993,10664166.465986993,4847,0,0
1994,OH,123052375625.11368,64258544958.915405,605852005.6015875,723413998.1511252,124713102042.91188,65061170664.42305,581235335.8882084,720185415.1091838,1173683143.879971,1173683143.879971,646237760.3527493,646237760.3527493,9820999.820202455,9820999.820202455,7688999.982665351,7688999.982665351,1143926328.9133828,1143926328.9133828,639966750.0558424,639966750.0558424,9579999.62370167,9579999.62370167,7345499.988763153,7345499.988763153,3954,39,2468816000
1994,OK,18496724387.633533,9473056921.866707,1427923263.4167564,473930921.46783924,18841402062.662117,9624201751.819166,1464769830.6040304,482831610.5199187,226015818.85534438,226015818.85534438,132152931.28425653,132152931.28425653,17527999.999999993,17527999.999999993,14350000.000000002,14350000.000000002,248515505.57832596,248515505.57832596,146122077.19777703,146122077.19777703,20346666.666666683,20346666.666666683,14100916.666666659,14100916.666666659,991,230,10316635000
